"HomeTeam","AwayTeam","TotalGoals"
"Bolton","Fulham",0
"Middlesbrough","Wigan",1
"Sunderland","Birmingham",2
"Chelsea","Reading",1
"Derby","Man City",2
"Everton","Tottenham",0
"Man United","Portsmouth",2
"West Ham","Liverpool",1
"Birmingham","Derby",2
"Blackburn","Everton",0
"Liverpool","Sunderland",3
"Man City","Arsenal",4
"Portsmouth","Chelsea",2
"Reading","Bolton",2
"Tottenham","Man United",2
"Wigan","West Ham",1
"Fulham","Aston Villa",3
"Newcastle","Middlesbrough",2
"Aston Villa","Newcastle",5
"Bolton","Portsmouth",1
"Derby","Tottenham",3
"Everton","Reading",1
"Middlesbrough","Fulham",1
"Sunderland","Wigan",2
"West Ham","Birmingham",2
"Chelsea","Liverpool",0
"Man United","Man City",3
"Arsenal","Blackburn",2
"Birmingham","Arsenal",4
"Fulham","West Ham",1
"Liverpool","Middlesbrough",5
"Newcastle","Man United",6
"Portsmouth","Sunderland",1
"Wigan","Derby",2
"Blackburn","Bolton",5
"Reading","Aston Villa",3
"Man City","Everton",2
"Arsenal","Aston Villa",2
"Birmingham","Tottenham",5
"Derby","Sunderland",0
"Fulham","Man United",3
"Man City","Wigan",0
"Middlesbrough","Reading",1
"Newcastle","Blackburn",1
"West Ham","Chelsea",4
"Bolton","Liverpool",4
"Everton","Portsmouth",4
"Liverpool","West Ham",4
"Blackburn","Fulham",2
"Liverpool","Newcastle",3
"Reading","Man City",2
"Sunderland","Everton",1
"Tottenham","West Ham",4
"Wigan","Arsenal",0
"Aston Villa","Middlesbrough",2
"Chelsea","Derby",7
"Portsmouth","Birmingham",6
"Arsenal","Middlesbrough",2
"Derby","Man United",1
"Liverpool","Reading",3
"Portsmouth","Aston Villa",2
"Sunderland","Chelsea",1
"West Ham","Blackburn",3
"Fulham","Everton",1
"Man City","Tottenham",3
"Wigan","Bolton",1
"Birmingham","Newcastle",2
"Man United","Bolton",2
"Tottenham","Chelsea",8
"Aston Villa","Sunderland",1
"Blackburn","Wigan",4
"Bolton","Man City",0
"Everton","West Ham",2
"Middlesbrough","Derby",1
"Newcastle","Fulham",2
"Reading","Birmingham",3
"Tottenham","Portsmouth",2
"Chelsea","Arsenal",3
"Man United","Liverpool",3
"Birmingham","Man City",4
"Bolton","Arsenal",5
"Derby","Fulham",4
"Man United","Aston Villa",4
"Portsmouth","Wigan",2
"Reading","Blackburn",0
"Sunderland","West Ham",3
"Chelsea","Middlesbrough",1
"Liverpool","Everton",1
"Tottenham","Newcastle",5
"Arsenal","Liverpool",2
"Aston Villa","Bolton",4
"Blackburn","Tottenham",2
"Fulham","Sunderland",4
"Man City","Chelsea",2
"Newcastle","Reading",3
"Wigan","Birmingham",2
"Everton","Derby",1
"Middlesbrough","Man United",4
"West Ham","Portsmouth",1
"Birmingham","Everton",2
"Bolton","West Ham",1
"Derby","Aston Villa",6
"Portsmouth","Newcastle",0
"Reading","Fulham",2
"Sunderland","Man City",3
"Tottenham","Middlesbrough",2
"Liverpool","Blackburn",4
"Man United","Arsenal",3
"Chelsea","Wigan",2
"Everton","Chelsea",1
"Arsenal","Reading",2
"Blackburn","Man United",2
"Fulham","Liverpool",2
"Middlesbrough","Bolton",1
"West Ham","Derby",3
"Wigan","Tottenham",2
"Aston Villa","Birmingham",6
"Man City","Portsmouth",4
"Newcastle","Sunderland",2
"Birmingham","Liverpool",4
"Chelsea","Man United",3
"Man City","Fulham",5
"Sunderland","Middlesbrough",5
"Tottenham","Bolton",2
"West Ham","Newcastle",4
"Wigan","Reading",0
"Everton","Aston Villa",4
"Portsmouth","Blackburn",1
"Derby","Arsenal",8
"Aston Villa","Wigan",2
"Blackburn","Derby",4
"Bolton","Sunderland",2
"Fulham","Birmingham",2
"Man United","West Ham",5
"Middlesbrough","Portsmouth",2
"Reading","Tottenham",1
"Arsenal","Everton",1
"Liverpool","Man City",1
"Newcastle","Chelsea",2
"Birmingham","Blackburn",5
"Chelsea","Bolton",2
"Derby","Reading",4
"Everton","Newcastle",4
"Middlesbrough","Man City",9
"Portsmouth","Fulham",1
"Sunderland","Arsenal",1
"Tottenham","Liverpool",2
"West Ham","Aston Villa",4
"Wigan","Man United",2
